strategy,regime_id,regime_name,ann_return,ann_volatility,sharpe,max_drawdown,expected_shortfall,return_over_es,hit_rate,avg_negative_return,n_obs
cvar_baseline,0,Low-stress / Risk-on,0.07937402471639166,0.07785971646903936,1.0194491877960339,-0.10010265480736058,0.011932449416426764,6.65194730321854,0.4830508474576271,-0.0036487885727177305,1770
cvar_baseline,1,High-stress / Risk-off,0.08207381827087046,0.11144466094147436,0.7364535687714271,-0.21012758819073873,0.01654649835138098,4.960192575368706,0.43656343656343655,-0.005205829687509916,1001
cvar_no_crypto_control,0,Low-stress / Risk-on,0.08108126703851859,0.0764968423835835,1.0599295933281414,-0.09885313003456675,0.011767895247975084,6.890039835498225,0.3870056497175141,-0.004488382808174958,1770
cvar_no_crypto_control,1,High-stress / Risk-off,0.08103559815967132,0.11090829130744544,0.7306541035334775,-0.20781211783858133,0.016524253830089507,4.904039782547469,0.37662337662337664,-0.006109538950117161,1001
minvar_baseline_ch1,0,Low-stress / Risk-on,0.08788723515154073,0.07482226432296778,1.174613411486432,-0.0990716744203809,0.011333595325101633,7.75457678084625,0.5451977401129944,-0.003201259173042574,1770
minvar_baseline_ch1,1,High-stress / Risk-off,0.07489589521526918,0.11065098325571027,0.676866061300039,-0.2084287266702366,0.01651572224247902,4.534824097648864,0.5254745254745254,-0.004129355750520354,1001
minvar_no_crypto_control,0,Low-stress / Risk-on,0.08478631654622193,0.07439046222775102,1.1397471397158867,-0.0990764479428442,0.01129949575043643,7.503548690918102,0.5180790960451978,-0.0033037875116444047,1770
minvar_no_crypto_control,1,High-stress / Risk-off,0.07687595548633253,0.11020357440028038,0.6975813253307411,-0.2084287260083445,0.016465941006996835,4.668786038627601,0.5134865134865135,-0.004245450566897702,1001
