window_id,window_label,start_date,end_date,strategy,scope,regime_id,regime_name,n_obs,share_obs_in_window,mapped_window_n_obs,n_days_reported,ann_return,ann_volatility,sharpe,max_drawdown,calmar,expected_shortfall,return_over_es
covid_crash,COVID crash,2020-02-20,2020-04-30,cvar_baseline,gross,0,Low-stress / Risk-on,12,0.23529411764705882,51,51,-0.0281407609542394,0.2565092335011509,-0.1097066197974241,-0.157627563406363,-0.1785269044709694,0.0414907131973718,-0.6782424013868713
covid_crash,COVID crash,2020-02-20,2020-04-30,cvar_baseline,gross,1,High-stress / Risk-off,39,0.7647058823529411,51,51,-0.0281407609542394,0.2565092335011509,-0.1097066197974241,-0.157627563406363,-0.1785269044709694,0.0414907131973718,-0.6782424013868713
covid_crash,COVID crash,2020-02-20,2020-04-30,cvar_baseline,net,0,Low-stress / Risk-on,12,0.23529411764705882,51,51,-0.0301565179517627,0.2565203870075234,-0.1175599269265032,-0.1576816148430584,-0.1912494236045068,0.0414907131973718,-0.7268257310571601
covid_crash,COVID crash,2020-02-20,2020-04-30,cvar_baseline,net,1,High-stress / Risk-off,39,0.7647058823529411,51,51,-0.0301565179517627,0.2565203870075234,-0.1175599269265032,-0.1576816148430584,-0.1912494236045068,0.0414907131973718,-0.7268257310571601
covid_crash,COVID crash,2020-02-20,2020-04-30,cvar_no_crypto_control,gross,0,Low-stress / Risk-on,12,0.23529411764705882,51,51,-0.0195551959909472,0.2537680752888591,-0.0770593226460339,-0.1556050847411905,-0.125671960035704,0.0406305648710196,-0.4812927423732491
covid_crash,COVID crash,2020-02-20,2020-04-30,cvar_no_crypto_control,gross,1,High-stress / Risk-off,39,0.7647058823529411,51,51,-0.0195551959909472,0.2537680752888591,-0.0770593226460339,-0.1556050847411905,-0.125671960035704,0.0406305648710196,-0.4812927423732491
covid_crash,COVID crash,2020-02-20,2020-04-30,cvar_no_crypto_control,net,0,Low-stress / Risk-on,12,0.23529411764705882,51,51,-0.0216429732624007,0.2537723984706792,-0.0852849773766919,-0.1556749478419594,-0.1390266935202225,0.0406305648710196,-0.5326771441919554
covid_crash,COVID crash,2020-02-20,2020-04-30,cvar_no_crypto_control,net,1,High-stress / Risk-off,39,0.7647058823529411,51,51,-0.0216429732624007,0.2537723984706792,-0.0852849773766919,-0.1556749478419594,-0.1390266935202225,0.0406305648710196,-0.5326771441919554
covid_crash,COVID crash,2020-02-20,2020-04-30,minvar_baseline_ch1,gross,0,Low-stress / Risk-on,12,0.23529411764705882,51,51,-0.0014030496561372,0.2541487309626865,-0.005520584937893,-0.1518108814959774,-0.009242088856288,0.041566584987641,-0.0337542681592536
covid_crash,COVID crash,2020-02-20,2020-04-30,minvar_baseline_ch1,gross,1,High-stress / Risk-off,39,0.7647058823529411,51,51,-0.0014030496561372,0.2541487309626865,-0.005520584937893,-0.1518108814959774,-0.009242088856288,0.041566584987641,-0.0337542681592536
covid_crash,COVID crash,2020-02-20,2020-04-30,minvar_baseline_ch1,net,0,Low-stress / Risk-on,12,0.23529411764705882,51,51,-0.0028739576417403,0.2541545841085693,-0.0113079118829219,-0.151856558398589,-0.0189254759362903,0.041566584987641,-0.0691410574766937
covid_crash,COVID crash,2020-02-20,2020-04-30,minvar_baseline_ch1,net,1,High-stress / Risk-off,39,0.7647058823529411,51,51,-0.0028739576417403,0.2541545841085693,-0.0113079118829219,-0.151856558398589,-0.0189254759362903,0.041566584987641,-0.0691410574766937
covid_crash,COVID crash,2020-02-20,2020-04-30,minvar_no_crypto_control,gross,0,Low-stress / Risk-on,12,0.23529411764705882,51,51,0.0187866391435596,0.2496784646277164,0.0752433301429158,-0.1484305474852161,0.1265685498157364,0.040535467797305,0.463461757429345
covid_crash,COVID crash,2020-02-20,2020-04-30,minvar_no_crypto_control,gross,1,High-stress / Risk-off,39,0.7647058823529411,51,51,0.0187866391435596,0.2496784646277164,0.0752433301429158,-0.1484305474852161,0.1265685498157364,0.040535467797305,0.463461757429345
covid_crash,COVID crash,2020-02-20,2020-04-30,minvar_no_crypto_control,net,0,Low-stress / Risk-on,12,0.23529411764705882,51,51,0.0173498967640997,0.2496854069348101,0.0694870276044188,-0.1484305474852161,0.1168889898882019,0.040535467797305,0.4280176770342639
covid_crash,COVID crash,2020-02-20,2020-04-30,minvar_no_crypto_control,net,1,High-stress / Risk-off,39,0.7647058823529411,51,51,0.0173498967640997,0.2496854069348101,0.0694870276044188,-0.1484305474852161,0.1168889898882019,0.040535467797305,0.4280176770342639
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,cvar_baseline,gross,1,High-stress / Risk-off,196,1.0,196,196,-0.1789618457361512,0.1434955380060101,-1.2471596554358066,-0.2071713287774663,-0.8638350045453617,0.0178370189615934,-10.033170123409676
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,cvar_baseline,net,1,High-stress / Risk-off,196,1.0,196,196,-0.1791471620092125,0.1434876887471398,-1.2485193926631108,-0.2072632866004776,-0.8643458518272849,0.0178370189615934,-10.043559542934336
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,cvar_no_crypto_control,gross,1,High-stress / Risk-off,196,1.0,196,196,-0.178459423105615,0.1433921536973204,-1.2445550087929944,-0.2067940075759697,-0.8629815979559007,0.0177725139978119,-10.041315658976872
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,cvar_no_crypto_control,net,1,High-stress / Risk-off,196,1.0,196,196,-0.1786419851336913,0.1433843062051642,-1.2458963596621095,-0.2068838554612644,-0.8634892497309394,0.0177725139978119,-10.051587814514283
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,minvar_baseline_ch1,gross,1,High-stress / Risk-off,196,1.0,196,196,-0.1792915728356243,0.1434087357996631,-1.2502137462956804,-0.2072181874134427,-0.8652308712550453,0.0177739499035009,-10.087322953482031
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,minvar_baseline_ch1,net,1,High-stress / Risk-off,196,1.0,196,196,-0.1794395774319627,0.1434007256032225,-1.2513156867034034,-0.2072835195366174,-0.8656721857728976,0.0177739499035009,-10.09565000498954
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,minvar_no_crypto_control,gross,1,High-stress / Risk-off,196,1.0,196,196,-0.1792915728356243,0.1434087357996631,-1.2502137462956804,-0.2072181874134427,-0.8652308712550453,0.0177739499035009,-10.087322953482031
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,minvar_no_crypto_control,net,1,High-stress / Risk-off,196,1.0,196,196,-0.1794395774319627,0.1434007256032225,-1.2513156867034034,-0.2072835195366174,-0.8656721857728976,0.0177739499035009,-10.09565000498954
