strategy,regime_id,regime_name,ann_return,ann_volatility,sharpe,max_drawdown,expected_shortfall,return_over_es,hit_rate,avg_negative_return,n_obs
cvar_baseline,0,Low-stress / Risk-on,0.07906014961831587,0.07785005991915579,1.0155438505817043,-0.1002074946978192,0.011932590248555744,6.625564774411397,0.48192090395480225,-0.0035927751907760524,1770
cvar_baseline,1,High-stress / Risk-off,0.08162957847538821,0.11144866123185224,0.7324410860850998,-0.2103255519552205,0.01654649835138098,4.933344611162117,0.4355644355644356,-0.005111591160711701,1001
cvar_no_crypto_control,0,Low-stress / Risk-on,0.08080396196797635,0.07649050222719386,1.0563920959489916,-0.0989316594153048,0.01176800815070951,6.866409415522418,0.3870056497175141,-0.004320592555515971,1770
cvar_no_crypto_control,1,High-stress / Risk-off,0.08064469112420225,0.11091044897546676,0.7271153608082567,-0.20801066192365603,0.016524253830089507,4.880383220533319,0.37662337662337664,-0.005884329496528983,1001
minvar_baseline_ch1,0,Low-stress / Risk-on,0.08765627933477105,0.07481828789066496,1.1715889497881424,-0.09912797742894341,0.011333958223586304,7.733951158594861,0.5423728813559322,-0.003172364897269689,1770
minvar_baseline_ch1,1,High-stress / Risk-off,0.07452064364913968,0.11065463631562662,0.6734525197532631,-0.20852318280834548,0.01651572224247902,4.512103228369266,0.5234765234765235,-0.004104491726998367,1001
minvar_no_crypto_control,0,Low-stress / Risk-on,0.08457896777905693,0.07438747088617431,1.137005557138478,-0.09913261276693286,0.011299858648597061,7.48495803436956,0.5124293785310734,-0.003227513410545239,1770
minvar_no_crypto_control,1,High-stress / Risk-off,0.07652144391883797,0.11020687487457143,0.6943436514820741,-0.20852318214669874,0.016465941006996835,4.647256047274911,0.5064935064935064,-0.004162543137873595,1001
