date,realized_vol_spy_63d,realized_vol_btc_usd_63d,drawdown_spy_126d,drawdown_btc_usd_126d,corr_spy_tlt_126d,corr_spy_btc_usd_126d,corr_btc_usd_eth_usd_126d,momentum_spy_126d,momentum_btc_usd_126d,momentum_tlt_126d
2018-03-30,0.19773819595218156,1.0606899606473015,-0.07807968742693427,-0.6046633569791869,-0.18062338333706504,0.2159542875471758,0.6530174322786891,-0.016988794089944612,-0.540083152616371,-0.02462220819949247
2018-04-02,0.20189329681349977,1.062368194778054,-0.09797888929197751,-0.5935741240605001,-0.1866229366453906,0.194595902322704,0.6497056084370498,-0.03820661319559915,-0.527182438417721,-0.02269749624223395
2018-04-03,0.20345358401510102,1.067253731649937,-0.08641770750513666,-0.572213209599744,-0.2027292297525328,0.20731947457267438,0.6557699768865148,-0.025879331656147225,-0.5023321124753694,-0.03023550870670514
2018-04-04,0.20418696103607334,1.047276108690177,-0.07664296344314725,-0.6067678451045634,-0.20499486201714565,0.1891597076916769,0.6620845523764741,-0.015456865834756767,-0.54253141933049,-0.032239752943328766
2018-04-05,0.2048243911620853,1.0165800553243791,-0.06935620186558689,-0.609198759870119,-0.21342503549802924,0.1890938480810705,0.6619856290781523,-0.007687248235655546,-0.5453594360978955,-0.03945671061113742
2018-04-06,0.20945580217568444,1.0155882721448142,-0.09009626534640425,-0.6192478370453104,-0.25136194655077443,0.19124367435088446,0.6623778670453911,-0.029801648509609258,-0.5570500799456642,-0.028952290410308206
2018-04-09,0.20976320496211023,1.014808089068929,-0.08561193220138741,-0.6115361897662719,-0.24877888469929815,0.19359155809944753,0.662652569587496,-0.02502016178839557,-0.5480786967781213,-0.027348479266596254
2018-04-10,0.2117595261452392,0.9959182635440078,-0.07107276943459473,-0.607862545361312,-0.25006497027892804,0.1967056911134885,0.6629736973629553,-0.009517563863832899,-0.5438049443117992,-0.029112740817081484
2018-04-11,0.21146733064980108,0.9920742055167491,-0.07594250756911491,-0.6001996715787163,-0.2528058977474369,0.19350001537391062,0.6642366029055057,-0.01470999437089082,-0.5348903020336118,-0.02566505885196141
2018-04-12,0.21222167534760006,1.0282484430706562,-0.06833996918332841,-0.5473622307008225,-0.2603483225659354,0.20667563806073175,0.6856275615203401,-0.006603675066859724,-0.4734216027329491,-0.032801560341709494
