experiment_id,dimension_tested,family,is_anchor,sample_scope,lookback_window_days,max_total_crypto_weight,rebalance_frequency,covariance_method,cost_bps,cost_rate,ann_return_gross,ann_volatility_gross,sharpe_gross,max_drawdown_gross,calmar_gross,ann_return_net,ann_volatility_net,sharpe_net,max_drawdown_net,calmar_net,cumulative_cost,oos_start,oos_end,n_oos_days,n_rebalances
baseline_ch1,anchor,anchors,True,native,252,0.2,monthly,sample,0.0,0.0,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0,2018-10-01,2026-05-02,2771,92
baseline_ch1,anchor,anchors,True,native,252,0.2,monthly,sample,10.0,0.001,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.08289271912714224,0.0894167073382878,0.9270383756531816,-0.23348995119373506,0.35501621677227196,0.002879624981975352,2018-10-01,2026-05-02,2771,92
baseline_ch1,anchor,anchors,True,native,252,0.2,monthly,sample,25.0,0.0025,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.082467582979048,0.08941640819855405,0.9222869117704235,-0.23373712047794892,0.3528219343612051,0.00719906245493838,2018-10-01,2026-05-02,2771,92
baseline_ch1,anchor,anchors,True,native,252,0.2,monthly,sample,50.0,0.005,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0817592828618472,0.08941703466930882,0.9143591393319818,-0.23414891922444359,0.34917642640697727,0.01439812490987676,2018-10-01,2026-05-02,2771,92
minvar_no_crypto_control,anchor,anchors,True,native,252,0.0,monthly,sample,0.0,0.0,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.0,2018-10-01,2026-05-02,2771,92
minvar_no_crypto_control,anchor,anchors,True,native,252,0.0,monthly,sample,10.0,0.001,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08166132186555375,0.0889861735665249,0.9176855076761427,-0.23355193227077875,0.3496495236480257,0.0026514859857124785,2018-10-01,2026-05-02,2771,92
minvar_no_crypto_control,anchor,anchors,True,native,252,0.0,monthly,sample,25.0,0.0025,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.0812702578758131,0.0889863843217491,0.9132886845021513,-0.23379854084037044,0.34760806283774726,0.0066287149642811965,2018-10-01,2026-05-02,2771,92
minvar_no_crypto_control,anchor,anchors,True,native,252,0.0,monthly,sample,50.0,0.005,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08061869854096004,0.08898775984241167,0.9059526690381645,-0.2342094058132559,0.3442163147164141,0.013257429928562393,2018-10-01,2026-05-02,2771,92
lookback_126,lookback,lookback,False,native,126,0.2,monthly,sample,0.0,0.0,0.07807770953770965,0.0868501321904137,0.8989935601540475,-0.22782244707071875,0.34271297908354664,0.07807770953770965,0.0868501321904137,0.8989935601540475,-0.22782244707071875,0.34271297908354664,0.0,2018-06-01,2026-05-02,2893,96
lookback_126,lookback,lookback,False,native,126,0.2,monthly,sample,10.0,0.001,0.07807770953770965,0.0868501321904137,0.8989935601540475,-0.22782244707071875,0.34271297908354664,0.07765723892025078,0.08684729153390422,0.8941814712774808,-0.2280104784455933,0.34058627239265654,0.004482487727137236,2018-06-01,2026-05-02,2893,96
lookback_126,lookback,lookback,False,native,126,0.2,monthly,sample,25.0,0.0025,0.07807770953770965,0.0868501321904137,0.8989935601540475,-0.22782244707071875,0.34271297908354664,0.07702676109652651,0.08684386491422379,0.886956852652819,-0.22829245682656696,0.33740388170180974,0.011206219317843089,2018-06-01,2026-05-02,2893,96
lookback_126,lookback,lookback,False,native,126,0.2,monthly,sample,50.0,0.005,0.07807770953770965,0.0868501321904137,0.8989935601540475,-0.22782244707071875,0.34271297908354664,0.07597657274553393,0.08684037912625167,0.8748991368989356,-0.22876223769310455,0.33212025512471216,0.022412438635686177,2018-06-01,2026-05-02,2893,96
lookback_252,lookback,lookback,False,native,252,0.2,monthly,sample,0.0,0.0,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0,2018-10-01,2026-05-02,2771,92
lookback_252,lookback,lookback,False,native,252,0.2,monthly,sample,10.0,0.001,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.08289271912714224,0.0894167073382878,0.9270383756531816,-0.23348995119373506,0.35501621677227196,0.002879624981975352,2018-10-01,2026-05-02,2771,92
lookback_252,lookback,lookback,False,native,252,0.2,monthly,sample,25.0,0.0025,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.082467582979048,0.08941640819855405,0.9222869117704235,-0.23373712047794892,0.3528219343612051,0.00719906245493838,2018-10-01,2026-05-02,2771,92
lookback_252,lookback,lookback,False,native,252,0.2,monthly,sample,50.0,0.005,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0817592828618472,0.08941703466930882,0.9143591393319818,-0.23414891922444359,0.34917642640697727,0.01439812490987676,2018-10-01,2026-05-02,2771,92
lookback_504,lookback,lookback,False,native,504,0.2,monthly,sample,0.0,0.0,0.07839344677511728,0.0925414461014783,0.8471171575291062,-0.23267185211645824,0.3369270758883174,0.07839344677511728,0.0925414461014783,0.8471171575291062,-0.23267185211645824,0.3369270758883174,0.0,2019-06-01,2026-05-02,2528,84
lookback_504,lookback,lookback,False,native,504,0.2,monthly,sample,10.0,0.001,0.07839344677511728,0.0925414461014783,0.8471171575291062,-0.23267185211645824,0.3369270758883174,0.07821346355196512,0.09254005802486584,0.8451849417573186,-0.23279221633550162,0.33597971952482886,0.0016762117083386108,2019-06-01,2026-05-02,2528,84
