rebalance_date,experiment_id,dimension_tested,family,lookback_window_days,max_total_crypto_weight,rebalance_frequency,covariance_method,turnover_one_way,is_initial_rebalance,n_assets_changed,max_abs_weight_change
2023-06-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.02110235413599365,False,3,0.02110235413599365
2023-07-03,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.01268559707348276,False,3,0.012685597073482713
2023-08-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.009676359644445184,False,3,0.009676359644445132
2023-09-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.005038078488403942,False,3,0.005038078488403874
2023-10-02,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.007125085702925069,False,3,0.0071250857029250825
2023-11-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.06490217198827516,False,5,0.05531901622330376
2023-12-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.031442043955765456,False,6,0.02343488711430508
2024-01-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.04793749692002676,False,5,0.046482357151096165
2024-02-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.025182706189135973,False,6,0.01306418210224123
2024-03-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.020714430278779845,False,6,0.0090389549124331
2024-04-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.02421610650955292,False,6,0.018925334188178156
2024-05-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.04723712951945763,False,5,0.03412110092298187
2024-06-03,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.013725301294253155,False,5,0.009089259203196885
2024-07-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.016308744022958076,False,5,0.009500834721145074
2024-08-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.034556309822139024,False,5,0.026344201251161867
2024-09-02,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.03670662068741348,False,5,0.03670662068741351
2024-10-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.05913704673687217,False,5,0.0553776721610392
2024-11-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.08331294221218669,False,5,0.0728477014337161
2024-12-02,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.019072310514905107,False,5,0.013185000084895038
