rebalance_date,turnover_one_way,is_initial_rebalance,strategy
2019-04-01,0.014154327604825573,False,minvar_no_crypto_control
2019-05-01,0.006232767066415375,False,minvar_no_crypto_control
2019-06-03,0.021811867683423095,False,minvar_no_crypto_control
2019-07-01,0.014329331205791622,False,minvar_no_crypto_control
2019-08-01,0.00295608463391564,False,minvar_no_crypto_control
2019-09-02,0.037581359876983945,False,minvar_no_crypto_control
2019-10-01,0.0192246423893404,False,minvar_no_crypto_control
2019-11-01,0.014122395555442148,False,minvar_no_crypto_control
2019-12-02,0.025536048962403624,False,minvar_no_crypto_control
2020-01-01,0.0698083205908433,False,minvar_no_crypto_control
2020-02-03,0.028915280672328236,False,minvar_no_crypto_control
2020-03-02,0.0540145378599647,False,minvar_no_crypto_control
2020-04-01,0.24110467596784013,False,minvar_no_crypto_control
2020-05-01,0.0797664074920334,False,minvar_no_crypto_control
2020-06-01,0.015456929988483201,False,minvar_no_crypto_control
2020-07-01,0.030534954639086676,False,minvar_no_crypto_control
2020-08-03,0.01651829056706738,False,minvar_no_crypto_control
2020-09-01,0.09183160272817686,False,minvar_no_crypto_control
2020-10-01,0.012929537737020599,False,minvar_no_crypto_control
2020-11-02,0.005703828513915436,False,minvar_no_crypto_control
2020-12-01,0.02626226406706874,False,minvar_no_crypto_control
2021-01-01,0.01481047010684049,False,minvar_no_crypto_control
2021-02-01,0.0052001170015349004,False,minvar_no_crypto_control
2021-03-01,0.019069629247999823,False,minvar_no_crypto_control
2021-04-01,0.04904914517441912,False,minvar_no_crypto_control
2021-05-03,0.0050475686481349135,False,minvar_no_crypto_control
2021-06-01,0.015051460038910098,False,minvar_no_crypto_control
2021-07-01,0.021963934810531417,False,minvar_no_crypto_control
2021-08-02,0.0027290063587017783,False,minvar_no_crypto_control
2021-09-01,0.006618194659082316,False,minvar_no_crypto_control
2021-10-01,0.003213726830050027,False,minvar_no_crypto_control
2021-11-01,0.010371116578711571,False,minvar_no_crypto_control
2021-12-01,0.008485992709143828,False,minvar_no_crypto_control
2022-01-03,0.013356288100648032,False,minvar_no_crypto_control
2022-02-01,0.006358514603750848,False,minvar_no_crypto_control
2022-03-01,0.011116731731706103,False,minvar_no_crypto_control
2022-04-01,0.020592335518110905,False,minvar_no_crypto_control
2022-05-02,0.008530065010145475,False,minvar_no_crypto_control
2022-06-01,0.017281837969320285,False,minvar_no_crypto_control
2022-07-01,0.007922865070210528,False,minvar_no_crypto_control
2022-08-01,0.03147301434946577,False,minvar_no_crypto_control
2022-09-01,0.0034886190667839903,False,minvar_no_crypto_control
2022-10-03,0.014229822605074317,False,minvar_no_crypto_control
2022-11-01,0.03309352374522602,False,minvar_no_crypto_control
2022-12-01,0.004434113975211193,False,minvar_no_crypto_control
2023-01-02,0.016190083376288973,False,minvar_no_crypto_control
2023-02-01,0.003500724513010948,False,minvar_no_crypto_control
2023-03-01,0.005695718185122278,False,minvar_no_crypto_control
2023-04-03,0.007755367257258413,False,minvar_no_crypto_control
2023-05-01,0.0053371218807288425,False,minvar_no_crypto_control
2023-06-01,0.02110235413599365,False,minvar_no_crypto_control
2023-07-03,0.01268559707348276,False,minvar_no_crypto_control
2023-08-01,0.009676359644445211,False,minvar_no_crypto_control
2023-09-01,0.0050380784884039975,False,minvar_no_crypto_control
2023-10-02,0.007125085702925041,False,minvar_no_crypto_control
2023-11-01,0.06409142981454036,False,minvar_no_crypto_control
2023-12-01,0.021683356598169,False,minvar_no_crypto_control
2024-01-01,0.048150887562879954,False,minvar_no_crypto_control
2024-02-01,0.014844279920432364,False,minvar_no_crypto_control
2024-03-01,0.013526153223255295,False,minvar_no_crypto_control
2024-04-01,0.01922381519551211,False,minvar_no_crypto_control
2024-05-01,0.04526845445909163,False,minvar_no_crypto_control
2024-06-03,0.008131363342495944,False,minvar_no_crypto_control
2024-07-01,0.01589151506382014,False,minvar_no_crypto_control
2024-08-01,0.03266615023759345,False,minvar_no_crypto_control
2024-09-02,0.03561019807378272,False,minvar_no_crypto_control
2024-10-01,0.057383601276442014,False,minvar_no_crypto_control
2024-11-01,0.0786904629139723,False,minvar_no_crypto_control
2024-12-02,0.016922734443274932,False,minvar_no_crypto_control
2025-01-01,0.008809373568882126,False,minvar_no_crypto_control
2025-02-03,0.01248791347255137,False,minvar_no_crypto_control
2025-03-03,0.01853909339921228,False,minvar_no_crypto_control
2025-04-01,0.02456710794399447,False,minvar_no_crypto_control
2025-05-01,0.047848732424827234,False,minvar_no_crypto_control
2025-06-02,0.024256011317321507,False,minvar_no_crypto_control
2025-07-01,0.006830272596202971,False,minvar_no_crypto_control
2025-08-01,0.007291407503786854,False,minvar_no_crypto_control
2025-09-01,0.008707975928520646,False,minvar_no_crypto_control
