target_col,task,model_name,n_samples,n_splits,n_predictions,status,roc_auc,pr_auc,accuracy,precision,recall,f1,brier,tn,fp,fn,tp,mae,rmse,r2_oos,corr_pred_actual,directional_accuracy
target_portfolio_dd_63d,regression,ridge,2110,61,3843,ok,,,,,,,,,,,,0.03608382651967015,0.04411821779012542,-1.4055507592857266,0.2032771711599543,0.9247983346344002
target_portfolio_dd_63d,regression,elastic_net,2110,61,3843,ok,,,,,,,,,,,,0.022410037106343195,0.030504905044306738,-0.1500532768092595,-0.03342381705050404,1.0
target_portfolio_dd_63d,regression,random_forest,2110,61,3843,ok,,,,,,,,,,,,0.02975470609288246,0.03759812556295791,-0.7470727612753734,-0.1538561150352663,1.0
target_portfolio_dd_event_21d,classification,logistic,2152,63,3969,ok,0.5445864268741187,0.13971715098150236,0.7848324514991182,0.11455847255369929,0.0903954802259887,0.10105263157894737,0.18390006125796052,3067.0,371.0,483.0,48.0,,,,,
target_portfolio_dd_event_21d,classification,calibrated_logistic,2152,63,3969,ok,0.4542155963755041,0.13773709489728367,0.8652053413958176,0.4230769230769231,0.02071563088512241,0.03949730700179533,0.13554153757952797,3423.0,15.0,520.0,11.0,,,,,
target_portfolio_dd_event_21d,classification,random_forest_classifier,2152,63,3969,ok,0.5709224694863764,0.1507445420652745,0.8536155202821869,0.05357142857142857,0.005649717514124294,0.010221465076660987,0.1260970948928674,3385.0,53.0,528.0,3.0,,,,,
target_portfolio_dd_event_21d,classification,gradient_boosting_classifier,2152,63,3969,ok,0.551203783130603,0.1547269264818247,0.8420256991685563,0.16666666666666666,0.04519774011299435,0.07111111111111111,0.13730004416717773,3318.0,120.0,507.0,24.0,,,,,
target_portfolio_dd_event_63d,classification,logistic,2110,61,3843,ok,0.7443660763407933,0.3886027797729432,0.8834244080145719,0.34624697336561744,0.4454828660436137,0.3896457765667575,0.10167529697799489,3252.0,270.0,178.0,143.0,,,,,
target_portfolio_dd_event_63d,classification,calibrated_logistic,2110,61,3843,ok,0.8595203093682611,0.33163322230483144,0.9055425448868072,0.2,0.04361370716510903,0.07161125319693094,0.06741386644295701,3466.0,56.0,307.0,14.0,,,,,
target_portfolio_dd_event_63d,classification,random_forest_classifier,2110,61,3843,ok,0.5662378533861919,0.0852825136391725,0.9076242518865469,0.0,0.0,0.0,0.09205776208543723,3488.0,34.0,321.0,0.0,,,,,
target_portfolio_dd_event_63d,classification,gradient_boosting_classifier,2110,61,3843,ok,0.5199927115894573,0.07966602515871452,0.8818631277647672,0.014598540145985401,0.006230529595015576,0.008733624454148471,0.10531171950190844,3387.0,135.0,319.0,2.0,,,,,
target_btc_dd_event_21d,classification,logistic,2152,63,3969,ok,0.33707142080054453,0.2577311444905631,0.3829680020156211,0.19897669130187606,0.2517985611510791,0.22229279136233726,0.5074300194219562,1170.0,1409.0,1040.0,350.0,,,,,
target_btc_dd_event_21d,classification,calibrated_logistic,2152,63,3969,ok,0.48845796569413724,0.33049688958516626,0.5497606449987402,0.28017718715393136,0.18201438848920864,0.22067160924552987,0.256708563324892,1929.0,650.0,1137.0,253.0,,,,,
target_btc_dd_event_21d,classification,random_forest_classifier,2152,63,3969,ok,0.4098272990758227,0.28963211717871834,0.5293524817334341,0.23385300668151449,0.1510791366906475,0.18356643356643357,0.2755507421282752,1891.0,688.0,1180.0,210.0,,,,,
target_btc_dd_event_21d,classification,gradient_boosting_classifier,2152,63,3969,ok,0.35148668967114016,0.265137005938978,0.5028974552784077,0.14320685434516525,0.0841726618705036,0.10602628001812416,0.3283859016326512,1879.0,700.0,1273.0,117.0,,,,,
target_stress_event_21d,classification,logistic,1894,51,3213,ok,0.9575754891796092,0.7848150880349067,0.9324618736383442,0.760752688172043,0.6885644768856448,0.722860791826309,0.05067047975557395,2713.0,89.0,128.0,283.0,,,,,
target_stress_event_21d,classification,calibrated_logistic,1894,51,3213,ok,0.9442994315843221,0.70716659488774,0.8969810146280734,0.8773584905660378,0.22627737226277372,0.3597678916827853,0.06797957269865976,2789.0,13.0,318.0,93.0,,,,,
target_stress_event_21d,classification,gradient_boosting_classifier,1894,51,3213,ok,0.9727662375328014,0.8723074918732521,0.9511360099595394,0.8547486033519553,0.7445255474452555,0.7958387516254877,0.03495099919421588,2750.0,52.0,105.0,306.0,,,,,
