target_col,model_name,decile,mean_score,event_rate,n
target_portfolio_dd_event_21d,logistic,2,7.46999861369654e-05,0.05793450881612091,397
target_portfolio_dd_event_21d,logistic,3,0.00034258648297832495,0.12342569269521411,397
target_portfolio_dd_event_21d,logistic,4,0.0015450841504205744,0.2141057934508816,397
target_portfolio_dd_event_21d,logistic,5,0.004465699209973389,0.23737373737373738,396
target_portfolio_dd_event_21d,logistic,6,0.0133900608119274,0.1712846347607053,397
target_portfolio_dd_event_21d,logistic,7,0.05468587996352303,0.10579345088161209,397
target_portfolio_dd_event_21d,logistic,8,0.2575445888221975,0.13602015113350127,397
target_portfolio_dd_event_21d,logistic,9,0.8290047167019694,0.11838790931989925,397
target_portfolio_dd_event_21d,random_forest_classifier,0,0.008698489838093697,0.05025125628140704,398
target_portfolio_dd_event_21d,random_forest_classifier,1,0.026186286039245808,0.06313131313131314,396
target_portfolio_dd_event_21d,random_forest_classifier,2,0.044114911037361405,0.14357682619647355,397
target_portfolio_dd_event_21d,random_forest_classifier,3,0.06360665734723941,0.16120906801007556,397
target_portfolio_dd_event_21d,random_forest_classifier,4,0.08507162886350712,0.1712846347607053,397
target_portfolio_dd_event_21d,random_forest_classifier,5,0.10970714128200205,0.11363636363636363,396
target_portfolio_dd_event_21d,random_forest_classifier,6,0.13737869978141845,0.1309823677581864,397
target_portfolio_dd_event_21d,random_forest_classifier,7,0.1774798114756451,0.18387909319899245,397
target_portfolio_dd_event_21d,random_forest_classifier,8,0.22889205581061317,0.1712846347607053,397
target_portfolio_dd_event_21d,random_forest_classifier,9,0.40485592988856606,0.1486146095717884,397
target_portfolio_dd_event_63d,calibrated_logistic,0,0.003488971846050447,0.0,385
target_portfolio_dd_event_63d,calibrated_logistic,1,0.015206222158922277,0.0,384
target_portfolio_dd_event_63d,calibrated_logistic,2,0.035197487589082345,0.0078125,384
target_portfolio_dd_event_63d,calibrated_logistic,3,0.055296680344457144,0.0026041666666666665,384
target_portfolio_dd_event_63d,calibrated_logistic,4,0.07767313114593923,0.046753246753246755,385
target_portfolio_dd_event_63d,calibrated_logistic,5,0.11565857585662494,0.044270833333333336,384
target_portfolio_dd_event_63d,calibrated_logistic,6,0.1520732476842425,0.0390625,384
target_portfolio_dd_event_63d,calibrated_logistic,7,0.19424418997284773,0.15364583333333334,384
target_portfolio_dd_event_63d,calibrated_logistic,8,0.25728584766502327,0.11197916666666667,384
target_portfolio_dd_event_63d,calibrated_logistic,9,0.4125568629249251,0.42857142857142855,385
target_portfolio_dd_event_63d,gradient_boosting_classifier,0,0.00015546554375717823,0.0,388
target_portfolio_dd_event_63d,gradient_boosting_classifier,1,0.0010265049268707478,0.03731343283582089,402
target_portfolio_dd_event_63d,gradient_boosting_classifier,2,0.0022636586158181595,0.07859078590785908,369
target_portfolio_dd_event_63d,gradient_boosting_classifier,3,0.004011025432119387,0.13192612137203166,379
target_portfolio_dd_event_63d,gradient_boosting_classifier,4,0.00619816764936219,0.12239583333333333,384
target_portfolio_dd_event_63d,gradient_boosting_classifier,5,0.009337208052999254,0.2,390
target_portfolio_dd_event_63d,gradient_boosting_classifier,6,0.01635001116049112,0.12962962962962962,378
target_portfolio_dd_event_63d,gradient_boosting_classifier,7,0.028430029564213834,0.04050632911392405,395
target_portfolio_dd_event_63d,gradient_boosting_classifier,8,0.06530787339501137,0.08288770053475936,374
target_portfolio_dd_event_63d,gradient_boosting_classifier,9,0.4218623543170714,0.015625,384
target_portfolio_dd_event_63d,logistic,0,1.5914876493363239e-06,0.0,385
target_portfolio_dd_event_63d,logistic,1,2.3005266828523148e-05,0.041666666666666664,384
target_portfolio_dd_event_63d,logistic,2,8.280207245587515e-05,0.059895833333333336,384
target_portfolio_dd_event_63d,logistic,3,0.00022431512752345653,0.03125,384
target_portfolio_dd_event_63d,logistic,4,0.0006979776724395218,0.04935064935064935,385
target_portfolio_dd_event_63d,logistic,5,0.0028076221333768435,0.0703125,384
target_portfolio_dd_event_63d,logistic,6,0.010890002294323057,0.109375,384
target_portfolio_dd_event_63d,logistic,7,0.04839377467563063,0.044270833333333336,384
target_portfolio_dd_event_63d,logistic,8,0.22463875250186247,0.06770833333333333,384
target_portfolio_dd_event_63d,logistic,9,0.911088735329538,0.36103896103896105,385
target_portfolio_dd_event_63d,random_forest_classifier,0,0.009086959934703208,0.0,385
target_portfolio_dd_event_63d,random_forest_classifier,1,0.02080028917204809,0.005208333333333333,384
target_portfolio_dd_event_63d,random_forest_classifier,2,0.03706745316382437,0.041666666666666664,384
target_portfolio_dd_event_63d,random_forest_classifier,3,0.055370546264169936,0.09114583333333333,384
target_portfolio_dd_event_63d,random_forest_classifier,4,0.07520461382440696,0.14213197969543148,394
target_portfolio_dd_event_63d,random_forest_classifier,5,0.09824053792403227,0.2613333333333333,375
target_portfolio_dd_event_63d,random_forest_classifier,6,0.12961895776896457,0.1484375,384
target_portfolio_dd_event_63d,random_forest_classifier,7,0.16659318886006239,0.07552083333333333,384
target_portfolio_dd_event_63d,random_forest_classifier,8,0.2349670485697448,0.0546875,384
target_portfolio_dd_event_63d,random_forest_classifier,9,0.3818551605216205,0.01818181818181818,385
target_stress_event_21d,calibrated_logistic,0,0.0005494130627033264,0.0,322
target_stress_event_21d,calibrated_logistic,1,0.0032266867232888775,0.0,321
target_stress_event_21d,calibrated_logistic,2,0.011357928492297688,0.003115264797507788,321
target_stress_event_21d,calibrated_logistic,3,0.02730591078730921,0.006230529595015576,321
target_stress_event_21d,calibrated_logistic,4,0.04922185237681709,0.006211180124223602,322
target_stress_event_21d,calibrated_logistic,5,0.0801438427260384,0.003115264797507788,321
target_stress_event_21d,calibrated_logistic,6,0.119924897576041,0.04672897196261682,321
target_stress_event_21d,calibrated_logistic,7,0.17316926717804332,0.09345794392523364,321
target_stress_event_21d,calibrated_logistic,8,0.2635984317480988,0.4517133956386293,321
target_stress_event_21d,calibrated_logistic,9,0.4922079631888691,0.6677018633540373,322
target_stress_event_21d,gradient_boosting_classifier,0,0.0024354916448220652,0.00911854103343465,329
target_stress_event_21d,gradient_boosting_classifier,1,0.003945641489367451,0.006269592476489028,319
target_stress_event_21d,gradient_boosting_classifier,2,0.005867824423072904,0.0,317
target_stress_event_21d,gradient_boosting_classifier,3,0.006642777609549437,0.0,340
target_stress_event_21d,gradient_boosting_classifier,4,0.007180780082645211,0.0,318
target_stress_event_21d,gradient_boosting_classifier,5,0.008388587073275737,0.0,342
target_stress_event_21d,gradient_boosting_classifier,6,0.011434205725546206,0.01056338028169014,284
target_stress_event_21d,gradient_boosting_classifier,7,0.02581069850688456,0.03669724770642202,327
target_stress_event_21d,gradient_boosting_classifier,8,0.23679854310615872,0.3510971786833856,319
target_stress_event_21d,gradient_boosting_classifier,9,0.9183783422726354,0.8773584905660378,318
target_stress_event_21d,logistic,0,4.098843663203873e-06,0.0,322
target_stress_event_21d,logistic,1,3.46964529714429e-05,0.0,321
target_stress_event_21d,logistic,2,0.0001328894822526534,0.0,321
target_stress_event_21d,logistic,3,0.00042357025017399,0.006230529595015576,321
target_stress_event_21d,logistic,4,0.0013197533691819416,0.009316770186335404,322
target_stress_event_21d,logistic,5,0.0037875229504917268,0.012461059190031152,321
target_stress_event_21d,logistic,6,0.013358666040707559,0.024922118380062305,321
target_stress_event_21d,logistic,7,0.07850851102314764,0.10903426791277258,321
target_stress_event_21d,logistic,8,0.3537905895556914,0.32710280373831774,321
target_stress_event_21d,logistic,9,0.8550990454026188,0.7888198757763976,322
