strategy,objective,lookback_window_days,rebalance_frequency,beta,max_total_crypto_weight,cost_bps,cost_rate,ann_return_gross,ann_volatility_gross,sharpe_gross,max_drawdown_gross,calmar_gross,expected_shortfall_gross,return_over_es_gross,ann_return_net,ann_volatility_net,sharpe_net,max_drawdown_net,calmar_net,expected_shortfall_net,return_over_es_net,oos_start,oos_end,n_oos_days,n_rebalances
cvar_baseline,min_historical_cvar,252,monthly,0.95,0.2,10.0,0.001,0.08034852396056502,0.09140679828574642,0.8790213142504765,-0.23983108532315134,0.3350213082357628,0.013795164870722682,5.8243975127175,0.0799876288057384,0.09140329966886059,0.8751065781598769,-0.24007372487947976,0.33317943829918606,0.01379525504381246,5.798198623490834,2018-10-01,2026-05-02,2771,92
cvar_no_crypto_control,min_historical_cvar,252,monthly,0.95,0.0,10.0,0.001,0.08106476932487472,0.09043107811345323,0.8964259966377078,-0.23983108532315156,0.3380077658225454,0.013682726601986358,5.924606380215646,0.08074642403265964,0.09042860514779116,0.8929301065817885,-0.24007372487947998,0.3363401141594956,0.013682798892226384,5.901308984270327,2018-10-01,2026-05-02,2771,92
minvar_baseline_ch1,min_variance,252,monthly,0.95,0.2,10.0,0.001,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.013375902271886021,6.218362439264042,0.08289271912714224,0.0894167073382878,0.9270383756531816,-0.23348995119373506,0.35501621677227196,0.013376134631347429,6.197060766185795,2018-10-01,2026-05-02,2771,92
minvar_no_crypto_control,min_variance,252,monthly,0.95,0.0,10.0,0.001,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.01334777892430973,6.1375068592381465,0.08166132186555375,0.0889861735665249,0.9176855076761427,-0.23355193227077875,0.3496495236480257,0.01334801128356366,6.1178643118251665,2018-10-01,2026-05-02,2771,92
