rebalance_date,strategy,objective,beta,max_total_crypto_weight,turnover_one_way,is_initial_rebalance,n_assets_changed,max_abs_weight_change
2023-11-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.03525083240596689,False,5,0.025122282847142574
2023-12-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.02822746716901246,False,5,0.021484578146519166
2024-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.06533608131843237,False,6,0.06533608131843241
2024-02-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.06796068709091325,False,6,0.06113718853868588
2024-03-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.030151866021696394,False,6,0.021819682806584296
2024-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.0156609304484214,False,6,0.012104673310884329
2024-05-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.030414756076023466,False,6,0.01953554671852964
2024-06-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.012619589539115805,False,5,0.00762328118131006
2024-07-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.03606275450335524,False,5,0.03056399298077829
2024-08-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.0818940853266855,False,5,0.07369988178317308
2024-09-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.07661925899776971,False,5,0.07661925899776978
2024-10-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.022066621861458538,False,4,0.02206662186145847
2024-11-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.12575700715925622,False,5,0.10685962650655453
2024-12-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.014116568947891612,False,4,0.012952971055766538
2025-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.059686047911418794,False,4,0.056113294945227245
2025-02-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.02868024159781521,False,4,0.028680241597815237
2025-03-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.02346485548187176,False,4,0.012685136792602303
2025-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.030869435198615368,False,4,0.03086943519861529
2025-05-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.08498820888963644,False,5,0.07110016529299351
2025-06-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.026582272526355928,False,4,0.02658227252635592
2025-07-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.007265503827758358,False,4,0.007265503827758313
2025-08-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.013871010641800442,False,4,0.013871010641800463
2025-09-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.013366310250383834,False,4,0.010365386660462494
2025-10-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.017200339193214197,False,4,0.017200339193214176
2025-11-03,cvar_baseline,min_historical_cvar,0.95,0.2,0.04117568694423197,False,4,0.03862125372246661
2025-12-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.017904787832290207,False,4,0.012501658840158802
2026-01-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.01260576158755366,False,4,0.012381684332763931
2026-02-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.0923313470515002,False,4,0.09233134705150009
2026-03-02,cvar_baseline,min_historical_cvar,0.95,0.2,0.09115308248991917,False,5,0.08658053141626876
2026-04-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.06941546387944147,False,5,0.06941546387944147
2026-05-01,cvar_baseline,min_historical_cvar,0.95,0.2,0.04991297006054541,False,5,0.028354692066565768
2019-01-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.0,True,0,0.0
2019-02-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.012927121606595593,False,3,0.012927121606595593
2019-03-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.00803761723161367,False,3,0.00803761723161367
2019-04-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.012479574397634946,False,3,0.012479574397634974
2019-05-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.011417352674263248,False,3,0.011417352674263304
2019-06-03,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.02068533717240159,False,3,0.020685337172401563
2019-07-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.014182322570277905,False,3,0.01418232257027785
2019-08-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.021798986064305997,False,3,0.021798986064306025
2019-09-02,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.023514886388584344,False,3,0.023514886388584344
2019-10-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.013888719881562456,False,3,0.013888719881562483
2019-11-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.05453525121564176,False,4,0.05453525121564178
2019-12-02,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.022765938427431232,False,4,0.022514438676590844
2020-01-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.03420770158564644,False,4,0.02868561075025461
2020-02-03,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.012875533540263988,False,4,0.01230032672212028
2020-03-02,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.08415147819580404,False,4,0.06247339484036807
2020-04-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.3470310813344377,False,4,0.3146079930746344
2020-05-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.020976013007037747,False,3,0.02097601300703772
2020-06-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.0137967263828159,False,3,0.013796726382815816
2020-07-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.009686988887426001,False,3,0.009686988887426029
2020-08-03,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.01060272920858768,False,3,0.01060272920858768
