window_id,window_label,start_date,end_date,strategy,scope,n_days,ann_return,ann_volatility,sharpe,max_drawdown,calmar,expected_shortfall,return_over_es
covid_crash,COVID crash,2020-02-20,2020-04-30,cvar_baseline,gross,71,0.021405278347849777,0.22599089581925272,0.09471743660403778,-0.1511292927663208,0.1416355357458534,0.038248742917145764,0.5596335125109284
covid_crash,COVID crash,2020-02-20,2020-04-30,cvar_no_crypto_control,gross,71,0.027987611166935045,0.22314201780610654,0.12542510568876433,-0.1489155504530717,0.18794283794931735,0.03745741506709058,0.7471847995064792
covid_crash,COVID crash,2020-02-20,2020-04-30,minvar_baseline_ch1,gross,71,0.036098537208247405,0.22621564465575986,0.15957577674691684,-0.1479676075646651,0.24396243071289472,0.038578003689058275,0.9357284917904108
covid_crash,COVID crash,2020-02-20,2020-04-30,minvar_no_crypto_control,gross,71,0.045255366862737345,0.22369232513072349,0.20231077144149034,-0.1444304169198417,0.3133368152489229,0.037962349655914135,1.1921118495806025
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,cvar_baseline,gross,275,-0.12863110669670408,0.12078699085955787,-1.0649417274271429,-0.20454602538554922,-0.6288614332849882,0.01628707378699127,-7.897741999513975
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,cvar_no_crypto_control,gross,275,-0.12863110669670408,0.12078699085955785,-1.064941727427143,-0.20454602538554933,-0.6288614332849879,0.016287073786991273,-7.897741999513973
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,minvar_baseline_ch1,gross,275,-0.12982548918724435,0.12098676530186837,-1.0730552954558532,-0.20573579098365447,-0.6310301604136486,0.016293778566940424,-7.967795109886683
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,minvar_no_crypto_control,gross,275,-0.1298254885204838,0.12098676525827602,-1.0730552903314619,-0.20573579031951283,-0.631030159209837,0.016293778563314217,-7.967795070738755
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,cvar_baseline,gross,302,-0.18786322267258593,0.10896040827393638,-1.7241420590154242,-0.23051581205033966,-0.8149689212276712,0.01606787608562182,-11.69185159703176
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,cvar_no_crypto_control,gross,302,-0.18786322267258604,0.10896040827393638,-1.724142059015425,-0.23051581205033977,-0.8149689212276713,0.01606787608562182,-11.691851597031768
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,minvar_baseline_ch1,gross,302,-0.18255367023686198,0.10780493085920594,-1.693370319723858,-0.22361518856689977,-0.8163741980444532,0.015763806174215026,-11.580557907104083
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,minvar_no_crypto_control,gross,302,-0.1826091476685252,0.10780486814120946,-1.6938859145890564,-0.22367833336916176,-0.8163917573864635,0.01576398317913977,-11.583947127663077
covid_crash,COVID crash,2020-02-20,2020-04-30,cvar_baseline,net,71,0.019886220012646394,0.22601861067756496,0.08798487855947315,-0.15118458508043253,0.13153602929866573,0.038248742917145764,0.5199182638687976
covid_crash,COVID crash,2020-02-20,2020-04-30,cvar_no_crypto_control,net,71,0.026399439569103622,0.22316986270698377,0.1182930313658229,-0.14898954297462375,0.1771898822026727,0.03745741506709058,0.7047854082247577
covid_crash,COVID crash,2020-02-20,2020-04-30,minvar_baseline_ch1,net,71,0.03480287386847247,0.2262406053293263,0.1538312444744912,-0.1480036265253427,0.2351487911852833,0.038578003689058275,0.902142945212675
covid_crash,COVID crash,2020-02-20,2020-04-30,minvar_no_crypto_control,net,71,0.04401368202506295,0.22371715028216807,0.19673807738722646,-0.1444568617044315,0.3046839139778484,0.037962349655914135,1.1594035254402668
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,cvar_baseline,net,275,-0.128768113614813,0.12078307145621033,-1.0661106069114796,-0.20464577383690852,-0.6292243968714162,0.01628707378699127,-7.906154002793431
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,cvar_no_crypto_control,net,275,-0.128768113614813,0.12078307145621031,-1.0661106069114796,-0.20464577383690852,-0.6292243968714162,0.016287073786991273,-7.906154002793429
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,minvar_baseline_ch1,net,275,-0.12994415560410555,0.12098221957057143,-1.0740764722729066,-0.20581730824289346,-0.6313567926500774,0.016293778566940424,-7.975078037930272
crypto_stress_2022,2022 crypto stress,2022-04-01,2022-12-31,minvar_no_crypto_control,net,275,-0.1299441549376028,0.12098221952728466,-1.0740764671481084,-0.20581730757898575,-0.6313567914483315,0.016293778563314217,-7.975077998799787
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,cvar_baseline,net,302,-0.18807048699805506,0.10895219993658728,-1.726174295769305,-0.23075114919789697,-0.8150359712261365,0.01606787608562182,-11.704750895256659
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,cvar_no_crypto_control,net,302,-0.18807048699805518,0.10895219993658727,-1.7261742957693063,-0.23075114919789708,-0.8150359712261365,0.01606787608562182,-11.704750895256666
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,minvar_baseline_ch1,net,302,-0.18268183447064923,0.1077992111972058,-1.6946490836232058,-0.22376106471079626,-0.8164147534190518,0.015763806174215026,-11.588688191907819
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,minvar_no_crypto_control,net,302,-0.18273698236342095,0.10779915720163472,-1.695161512456146,-0.2238238324792371,-0.8164321928513687,0.01576398317913977,-11.592056416631673
