target_col,model_name,bucket,mean_pred,mean_realized,n
target_portfolio_vol_21d,naive_rolling_vol,0,0.0781879159603354,0.09116567223421215,38
target_portfolio_vol_21d,naive_rolling_vol,1,0.09039629403478187,0.10599389838126413,40
target_portfolio_vol_21d,naive_rolling_vol,2,0.09477798431283457,0.11419493932538555,35
target_portfolio_vol_21d,naive_rolling_vol,3,0.10001893332178839,0.11017221889333396,39
target_portfolio_vol_21d,naive_rolling_vol,4,0.11464863634547813,0.11102690615255692,37
target_portfolio_vol_21d,ridge,0,0.12502826375284953,0.0964824440400652,38
target_portfolio_vol_21d,ridge,1,0.14571344060049723,0.10280383783399989,38
target_portfolio_vol_21d,ridge,2,0.16449232271958383,0.11552957912062077,37
target_portfolio_vol_21d,ridge,3,0.18778826989097058,0.11481049585048857,38
target_portfolio_vol_21d,ridge,4,0.22549840749968902,0.10250827473757221,38
